[ 12-12-2012 @08:48:26 ] | DEBUG | (CityDbControl.java : 22) =>   =============INSERT NEW CITY DB OP==============
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenDbControl.java : 153) =>   update statement execution success, rows affected: 1
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 13-12-2012 @07:42:17 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 13-12-2012 @07:42:39 ] | DEBUG | (ScreenDbControl.java : 22) =>   =============INSERT NEW SCREEN DB OP==============
[ 13-12-2012 @07:42:39 ] | DEBUG | (ScreenDbControl.java : 23) =>   ===========Currently in addNewScreen (DB) method===========
[ 13-12-2012 @07:42:39 ] | DEBUG | (ScreenDbControl.java : 47) =>   insert statement execution success, rows affected: 1
[ 13-12-2012 @07:42:42 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 13-12-2012 @07:42:42 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 13-12-2012 @07:42:42 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenDbControl.java : 161) =>   =============DELETE SPECIFIC SCREEN RECORD DB OP==============
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenDbControl.java : 162) =>   ===========Currently in deleteCinema (DB) method===========
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenDbControl.java : 179) =>   delete statement execution success, rows affected: 1
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 14-12-2012 @01:40:55 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 14-12-2012 @01:40:55 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 14-12-2012 @01:40:56 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 14-12-2012 @01:42:05 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 14-12-2012 @01:42:05 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 14-12-2012 @01:42:05 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 14-12-2012 @01:47:59 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @01:47:59 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @01:48:00 ] | DEBUG | (MovieDbControl.java : 52) =>   Failed to execute insert
[ 14-12-2012 @01:48:00 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 0
[ 14-12-2012 @01:50:49 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @01:50:49 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @01:50:49 ] | DEBUG | (MovieDbControl.java : 52) =>   Failed to execute insert
[ 14-12-2012 @01:50:49 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 0
[ 14-12-2012 @01:51:53 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @01:51:53 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @01:51:53 ] | DEBUG | (MovieDbControl.java : 52) =>   Failed to execute insert
[ 14-12-2012 @01:51:53 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 0
[ 14-12-2012 @01:54:27 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @01:54:27 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @01:54:27 ] | DEBUG | (MovieDbControl.java : 52) =>   Failed to execute insert
[ 14-12-2012 @01:54:27 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 0
[ 14-12-2012 @01:54:56 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @01:54:56 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @01:54:56 ] | DEBUG | (MovieDbControl.java : 52) =>   Failed to execute insert
[ 14-12-2012 @01:54:56 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 0
[ 14-12-2012 @01:56:54 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @01:56:54 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @01:56:54 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 1
[ 14-12-2012 @01:58:05 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 14-12-2012 @01:58:05 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 14-12-2012 @01:58:05 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 14-12-2012 @01:58:08 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @01:58:08 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @01:58:08 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:00:29 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:00:29 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:00:29 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:00:44 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:00:44 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:00:44 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:03:05 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:03:05 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:03:05 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:03:05 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:03:05 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:03:05 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:03:13 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:03:13 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:03:13 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:03:34 ] | DEBUG | (MovieDbControl.java : 103) =>   =============GET SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:03:34 ] | DEBUG | (MovieDbControl.java : 104) =>   ===========Currently in getMovieRecord (DB) method===========
[ 14-12-2012 @02:03:34 ] | DEBUG | (MovieDbControl.java : 134) =>   select with where clause statement execution success
[ 14-12-2012 @02:03:49 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 14-12-2012 @02:03:49 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 14-12-2012 @02:03:49 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 14-12-2012 @02:03:50 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:03:50 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:03:50 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:04:18 ] | DEBUG | (MovieDbControl.java : 103) =>   =============GET SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:04:18 ] | DEBUG | (MovieDbControl.java : 104) =>   ===========Currently in getMovieRecord (DB) method===========
[ 14-12-2012 @02:04:18 ] | DEBUG | (MovieDbControl.java : 134) =>   select with where clause statement execution success
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 186) =>   =============DELETE SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 187) =>   ===========Currently in deleteMovie (DB) method===========
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 204) =>   delete statement execution success, rows affected: 1
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 186) =>   =============DELETE SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 187) =>   ===========Currently in deleteMovie (DB) method===========
[ 14-12-2012 @02:04:28 ] | DEBUG | (MovieDbControl.java : 204) =>   delete statement execution success, rows affected: 0
[ 14-12-2012 @02:04:29 ] | DEBUG | (MovieDbControl.java : 103) =>   =============GET SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:04:29 ] | DEBUG | (MovieDbControl.java : 104) =>   ===========Currently in getMovieRecord (DB) method===========
[ 14-12-2012 @02:04:29 ] | DEBUG | (MovieDbControl.java : 134) =>   select with where clause statement execution success
[ 14-12-2012 @02:04:38 ] | DEBUG | (MovieDbControl.java : 141) =>   =============SET SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:04:38 ] | DEBUG | (MovieDbControl.java : 142) =>   ===========Currently in setMovieRecord (DB) method===========
[ 14-12-2012 @02:04:38 ] | DEBUG | (MovieDbControl.java : 178) =>   update statement execution success, rows affected: 0
[ 14-12-2012 @02:04:42 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 14-12-2012 @02:04:42 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 14-12-2012 @02:04:42 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 14-12-2012 @02:05:02 ] | DEBUG | (CityDbControl.java : 47) =>   =============GET ALL CITIES CITY DB OP==============
[ 14-12-2012 @02:05:02 ] | DEBUG | (CityDbControl.java : 48) =>   ===========Currently in getCities (DB) method===========
[ 14-12-2012 @02:05:03 ] | DEBUG | (CityDbControl.java : 72) =>   select statement execution success
[ 14-12-2012 @02:05:10 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 14-12-2012 @02:05:10 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 14-12-2012 @02:05:10 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 14-12-2012 @02:05:12 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 14-12-2012 @02:05:12 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 14-12-2012 @02:05:12 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 14-12-2012 @02:05:57 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:05:57 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:05:57 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:06:04 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:06:04 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:06:04 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:07:47 ] | DEBUG | (MovieDbControl.java : 186) =>   =============DELETE SPECIFIC MOVIE RECORD DB OP==============
[ 14-12-2012 @02:07:47 ] | DEBUG | (MovieDbControl.java : 187) =>   ===========Currently in deleteMovie (DB) method===========
[ 14-12-2012 @02:07:47 ] | DEBUG | (MovieDbControl.java : 204) =>   delete statement execution success, rows affected: 0
[ 14-12-2012 @02:08:37 ] | DEBUG | (MovieDbControl.java : 23) =>   =============INSERT NEW MOVIE DB OP==============
[ 14-12-2012 @02:08:37 ] | DEBUG | (MovieDbControl.java : 24) =>   ===========Currently in addNewMovie (DB) method===========
[ 14-12-2012 @02:08:37 ] | DEBUG | (MovieDbControl.java : 56) =>   insert statement execution success, rows affected: 1
[ 14-12-2012 @02:08:39 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:08:39 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:08:39 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:09:12 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 14-12-2012 @02:09:12 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 14-12-2012 @02:09:12 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 14-12-2012 @02:09:13 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
[ 14-12-2012 @02:09:13 ] | DEBUG | (MovieDbControl.java : 66) =>   ===========Currently in getMovies (DB) method===========
[ 14-12-2012 @02:09:13 ] | DEBUG | (MovieDbControl.java : 96) =>   select statement execution success
[ 14-12-2012 @02:11:53 ] | DEBUG | (CinemaDbControl.java : 62) =>   =============GET ALL CINEMA THEATRES DB OP==============
[ 14-12-2012 @02:11:53 ] | DEBUG | (CinemaDbControl.java : 63) =>   ===========Currently in getCinemaTheatres (DB) method===========
[ 14-12-2012 @02:11:53 ] | DEBUG | (CinemaDbControl.java : 92) =>   select statement execution success
[ 14-12-2012 @02:11:54 ] | DEBUG | (ScreenDbControl.java : 55) =>   =============GET ALL SCREENS DB OP==============
[ 14-12-2012 @02:11:54 ] | DEBUG | (ScreenDbControl.java : 56) =>   ===========Currently in getScreens (DB) method===========
[ 14-12-2012 @02:11:54 ] | DEBUG | (ScreenDbControl.java : 84) =>   select statement execution success
[ 14-12-2012 @02:11:56 ] | DEBUG | (MovieDbControl.java : 65) =>   =============GET ALL MOVIES DB OP==============
